#"Progress (%)";"Step";"Time (ps)";"Potential Energy (kJ/mole)";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Density (g/mL)";"Speed (ns/day)"
10.0%;250;0.09999999999999962;-643.7770047064265;1294.2422656740387;102.65161629914806;946.966168;0.07005024772485872;0
20.0%;500;0.20000000000000162;-601.0715836471461;1303.479114781681;103.33423756140262;946.966168;0.07005024772485872;1.56
30.0%;750;0.3000000000000045;-626.7384159281171;1320.9529890819485;104.78153941845719;946.966168;0.07005024772485872;1.56
40.0%;1000;0.40000000000000735;-634.4949315916343;1334.019183919942;105.65308407019312;946.966168;0.07005024772485872;1.56
50.0%;1250;0.5000000000000102;-626.6037994158934;1322.1526804344012;105.00654423944844;946.966168;0.07005024772485872;1.56
60.0%;1500;0.5999999999999992;-625.7472461724833;1315.4697144671666;104.43579882238139;946.966168;0.07005024772485872;1.56
70.0%;1750;0.6999999999999882;-626.0705705988596;1378.1832747834108;109.36008174333573;946.966168;0.07005024772485872;1.56
80.0%;2000;0.7999999999999772;-630.7064416595169;1355.5454531772752;107.62254346908502;946.966168;0.07005024772485872;1.56
90.0%;2250;0.8999999999999662;-634.6052548592595;1279.7517271145405;101.5557259834079;946.966168;0.07005024772485872;1.56
100.0%;2500;0.9999999999999551;-624.1193203003227;1320.5269237275572;104.78247747788888;946.966168;0.07005024772485872;1.56
