#Element,Name,AtomicNumber,Mass,Charge,Mult
X,Shell,0,0,0,1
VS,Vsite,0,0,0,1
H,Hydrogen,1,1.0079,0,2
He,Helium,2,4.0026,0,1
Li,Lithium,3,6.941,0,2
Li+,Lithium,3,6.941,1,1
Be,Beryllium,4,9.0122,0,1
Be2+,Beryllium,4,9.0122,1,2
B,Boron,5,10.811,0,2
C,Carbon,6,12.0107,0,3
N,Nitrogen,7,14.0067,0,4
O,Oxygen,8,15.9994,0,3
O2-,Oxygen,8,15.9994,-2,1
F,Fluorine,9,18.9984,0,2
F-,Fluorine,9,18.9984,-1,1
Ne,Neon,10,20.1797,0,1
Na,Sodium,11,22.9897,0,2
Na+,Sodium,11,22.9897,1,1
Mg,Magnesium,12,24.305,0,1
Mg2+,Magnesium,12,24.305,2,1
Al,Aluminum,13,26.9815,0,2
Al3+,Aluminum,13,26.9815,3,1
Si,Silicon,14,28.0855,0,1
P,Phosphorus,15,30.9738,0,4
S,Sulfur,16,32.065,0,1
S2-,Sulfur,16,32.065,-2,1
Cl,Chlorine,17,35.453,0,2
Cl-,Chlorine,17,35.453,-1,1
Ar,Argon,18,39.948,0,1
K,Potassium,19,39.0983,0,2
K+,Potassium,19,39.0983,1,1
Ca,Calcium,20,40.078,0,1
Ca2+,Calcium,20,40.078,2,1
Sc,Scandium,21,44.9559,0,2
Ti,Titanium,22,47.867,0,1
V,Vanadium,23,50.9415,0,2
Cr,Chromium,24,51.9961,0,1
Mn,Manganese,25,54.938,0,2
Fe,Iron,26,55.845,0,1
Co,Cobalt,27,58.9332,0,2
Ni,Nickel,28,58.6934,0,1
Cu,Copper,29,63.546,0,2
Zn,Zinc,30,65.39,0,1
Ga,Gallium,31,69.723,0,2
Ge,Germanium,32,72.64,0,1
As,Arsenic,33,74.9216,0,2
Se,Selenium,34,78.96,0,1
Br,Bromine,35,79.904,0,2
Br-,Bromine,35,79.904,-1,1
Kr,Krypton,36,83.8,0,1
Rb,Rubidium,37,85.4678,0,2
Rb+,Rubidium,37,85.4678,1,1
Sr,Strontium,38,87.62,0,1
Y,Yttrium,39,88.9059,0,2
Zr,Zirconium,40,91.224,0,1
Nb,Niobium,41,92.9064,0,2
Mo,Molybdenum,42,95.94,0,1
Tc,Technetium,43,98,0,2
Ru,Ruthenium,44,101.07,0,1
Rh,Rhodium,45,102.906,0,2
Pd,Palladium,46,106.42,0,1
Ag,Silver,47,107.868,0,2
Cd,Cadmium,48,112.411,0,1
In,Indium,49,114.818,0,2
Sn,Tin,50,118.71,0,1
Sb,Antimony,51,121.76,0,2
Te,Tellurium,52,127.6,0,1
I,Iodine,53,126.904,0,2
I-,Iodine,53,126.904,1,1
Xe,Xenon,54,131.293,0,1
Cs,Cesium,55,132.905,0,2
Cs+,Cesium,55,132.905,1,1
Ba,Barium,56,137.327,0,1
Ba2+,Barium,56,137.327,2,1
La,Lanthanum,57,138.905,0,2
Ce,Cerium,58,140.116,0,1
Pr,Praseodymium,59,140.908,0,2
Nd,Neodymium,60,144.24,0,1
Pm,Promethium,61,145,0,2
Sm,Samarium,62,150.36,0,1
Eu,Europium,63,151.964,0,2
Gd,Gadolinium,64,157.25,0,1
Tb,Terbium,65,158.925,0,2
Dy,Dysprosium,66,162.5,0,1
Ho,Holmium,67,164.93,0,2
Er,Erbium,68,167.259,0,1
Tm,Thulium,69,168.934,0,2
Yb,Ytterbium,70,173.04,0,1
Lu,Lutetium,71,174.967,0,2
Hf,Hafnium,72,178.49,0,1
Ta,Tantalum,73,180.948,0,2
W,Tungsten,74,183.84,0,1
Re,Rhenium,75,186.207,0,2
Os,Osmium,76,190.23,0,1
Ir,Iridium,77,192.217,0,2
Pt,Platinum,78,195.078,0,1
Au,Gold,79,196.966,0,2
Hg,Mercury,80,200.59,0,1
Tl,Thallium,81,204.383,0,2
Pb,Lead,82,207.2,0,1
Bi,Bismuth,83,208.98,0,2
Po,Polonium,84,209,0,1
At,Astatine,85,210,0,2
Rn,Radon,86,222,0,1
Fr,Francium,87,223,0,2
Ra,Radium,88,226,0,1
Ac,Actinium,89,227,0,2
Th,Thorium,90,232.038,0,1
Pa,Protactinium,91,231.036,0,2
U,Uranium,92,238.029,0,1
Np,Neptunium,93,237,0,2
Pu,Plutonium,94,244,0,1
Am,Americium,95,243,0,2
Cm,Curium,96,247,0,1
Bk,Berkelium,97,247,0,2
Cf,Californium,98,251,0,1
Es,Einsteinium,99,252,0,2
Fm,Fermium,100,257,0,1
Md,Mendelevium,101,258,0,2
No,Nobelium,102,259,0,1
Lr,Lawrencium,103,262,0,2
Rf,Rutherfordium,104,261,0,1
Db,Dubnium,105,262,0,2
Sg,Seaborgium,106,266,0,1
Bh,Bohrium,107,264,0,2
Hs,Hassium,108,277,0,1
Mt,Meitnerium,109,268,0,2
