#atomtype|element|q_min|q_max|charge_mutability|bondtype|poltype|zetatype|acmtype|epsilon_min|epsilon_max|epsilon_mutability|gamma_min|gamma_max|gamma_mutability|sigma_min|sigma_max|sigma_mutability|delta_min|delta_max|delta_mutability|radius|row|alpha_min|alpha_max|alpha_mutability|zeta_min|zeta_max|zeta_mutability|eta_min|eta_max|eta_mutability|chi_min|chi_max|chi_mutability|aexp_min|aexp_max|aexp_mutability|bexp_min|bexp_max|bexp_mutability|comment|reference
#|||||||||kJ/mol||||||nm||||||nm||A3|A3||1/nm|1/nm||eV|||eV||||||||||
hc|H|0|0|ACM|h_b|hc_s|hc_z|hc_z|0|2|Bounded|3|20|Bounded|0.1|0.45|Bounded|1|10|Bounded|0.031|1||||20|60|Bounded|4|24|Bounded|2|2|Fixed|2000|50000|Bounded|10|70|Bounded|hydrogen|
hc_s|X|-2|-0.6|Bounded|||hc_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.01|1|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|hydrogen shell|
h1|H|0|0|ACM|h_b|h1_s|h1_z|h1_z|0|2|Bounded|3|20|Bounded|0.1|0.45|Bounded|1|10|Bounded|0.031|1||||20|60|Bounded|4|24|Bounded|2|2|Fixed|2000|50000|Bounded|10|70|Bounded|hydrogen|
h1_s|X|-2|-0.6|Bounded|||h1_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.01|1|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|hydrogen shell|
h2|H|0|0|ACM|h_b|h2_s|h2_z|h2_z|0|2|Bounded|3|20|Bounded|0.1|0.45|Bounded|1|10|Bounded|0.031|1||||20|60|Bounded|4|24|Bounded|2|2|Fixed|2000|50000|Bounded|10|70|Bounded|hydrogen|
h2_s|X|-2|-0.6|Bounded|||h2_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.01|1|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|hydrogen shell|
h3|H|0|0|ACM|h_b|h3_s|h3_z|h3_z|0|2|Bounded|3|20|Bounded|0.1|0.45|Bounded|1|10|Bounded|0.031|1||||20|60|Bounded|4|24|Bounded|2|2|Fixed|2000|50000|Bounded|10|70|Bounded|hydrogen|
h3_s|X|-2|-0.6|Bounded|||h3_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.01|1|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|hydrogen shell|
h4|H|0|0|ACM|h_b|h4_s|h4_z|h4_z|0|2|Bounded|3|20|Bounded|0.1|0.45|Bounded|1|10|Bounded|0.031|1||||20|60|Bounded|4|24|Bounded|2|2|Fixed|2000|50000|Bounded|10|70|Bounded|hydrogen|
h4_s|X|-2|-0.6|Bounded|||h4_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.01|1|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|hydrogen shell|
