atomtype|element|q_min|q_max|charge_mutability|bondtype|poltype|zetatype|acmtype|epsilon_min|epsilon_max|epsilon_mutability|gamma_min|gamma_max|gamma_mutability|sigma_min|sigma_max|sigma_mutability|delta_min|delta_max|delta_mutability|radius|row|alpha_min|alpha_max|alpha_mutability|zeta_min|zeta_max|zeta_mutability|eta_min|eta_max|eta_mutability|chi_min|chi_max|chi_mutability|comment|reference
#|||||||||kJ/mol||||||nm||||||nm||A3|A3||1/nm|1/nm||eV|||eV||||
h|H|0|0|ACM|h_b|h_s|h_z|h_z|0.03|0.1|Bounded|10|20|Bounded|0.15|0.4|Bounded|1|6|Bounded|0.031|1||||6|20|Bounded|6|20|Bounded|2|5|Bounded|hydrogen|
h_s|X|-1.2|-0.4|Bounded|||h_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.1|0.5|Bounded|6|20|Bounded|||||||hydrogen shell|
c1|C|0|0|ACM|c1_b|c1_s|c1_z|c1_z|0.5|1|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.069|2||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp carbon|
c1_s|X|-2|-0.4|Bounded|||c1_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.6|1.5|Bounded|4|12|Bounded|||||||sp carbon shell|
c2|C|0|0|ACM|c2_b|c2_s|c2_z|c2_z|0.3|0.8|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.073|2||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp2 carbon|
c2_s|X|-2|-0.4|Bounded|||c2_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.6|1.5|Bounded|4|12|Bounded|||||||sp2 carbon shell|
c3|C|0|0|ACM|c3_b|c3_s|c3_z|c3_z|0.3|0.8|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.076|2||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp3 carbon|
c3_s|X|-2|-0.4|Bounded|||c3_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.6|1.5|Bounded|4|12|Bounded|||||||sp3 carbon shell|
n1|N|0|0|ACM|n1_b|n1_s|n1_z|n1_z|0.3|0.8|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.071|2||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp1 nitrogen|
n1_s|X|-2|-0.4|Bounded|||n1_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.6|1.5|Bounded|4|12|Bounded|||||||sp1 nitrogen shell|
n2|N|0|0|ACM|n2_b|n2_s|n2_z|n2_z|0.3|0.8|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.071|2||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp2 nitrogen|
n2_s|X|-2|-0.4|Bounded|||n2_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.6|1.5|Bounded|4|12|Bounded|||||||sp2 nitrogen shell|
n3|N|0|0|ACM|n3_b|n3_s|n3_z|n3_z|0.3|0.8|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.071|2||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp3 nitrogen|
n3_s|X|-2|-0.4|Bounded|||n3_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.6|1.5|Bounded|4|12|Bounded|||||||sp3 nitrogen shell|
n4|N|0|0|ACM|n4_b|n4_s|n4_z|n4_z|0.3|0.8|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.071|2||||6|20|Bounded|6|20|Bounded|4|9|Bounded|positively charged sp3 nitrogen|
n4_s|X|-2|-0.4|Bounded|||n4_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.6|1.5|Bounded|4|12|Bounded|||||||positively charged sp3 nitrogen shell|
o1|O|0|0|ACM|o1_b|o1_s|o1_z|o1_z|0.5|1|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.066|2||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp oxygen|
o1_s|X|-2|-0.4|Bounded|||o1_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|1.5|Bounded|4|12|Bounded|||||||sp oxygen shell|
o2|O|0|0|ACM|o2_b|o2_s|o2_z|o2_z|0.5|1|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.066|2||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp2 oxygen|
o2_s|X|-2|-0.4|Bounded|||o2_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|1.5|Bounded|4|12|Bounded|||||||sp2 oxygen shell|
o3|O|0|0|ACM|o3_b|o3_s|o3_z|o3_z|0.5|1|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.066|2||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp3 oxygen|
o3_s|X|-2|-0.4|Bounded|||o3_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|1.5|Bounded|4|12|Bounded|||||||sp3 oxygen shell|
f|F|0|0|ACM|f_b|f_s|f_z|f_z|0.2|0.6|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.057|2||||6|20|Bounded|6|20|Bounded|4|9|Bounded|fluorine|
f_s|X|-2|-0.4|Bounded|||f_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|0.4|1.5|Bounded|4|12|Bounded|||||||fluorine shell|
p1|P|0|0|ACM|p1_b|p1_s|p1_z|p1_z|0.5|1.2|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.107|3||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp phosphor|
p1_s|X|-2|-0.4|Bounded|||p1_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|2.5|Bounded|2|12|Bounded|||||||sp phosphor shell|
p2|P|0|0|ACM|p2_b|p2_s|p2_z|p2_z|0.5|1.2|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.107|3||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp2 phosphor|
p2_s|X|-2|-0.4|Bounded|||p2_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|2.5|Bounded|2|12|Bounded|||||||sp2 phosphor shell|
p3|P|0|0|ACM|p3_b|p3_s|p3_z|p3_z|0.5|1.2|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.107|3||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp3 phosphor|
p3_s|X|-2|-0.4|Bounded|||p3_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|2.5|Bounded|2|12|Bounded|||||||sp3 phosphor shell|
s1|S|0|0|ACM|s1_b|s1_s|s1_z|s1_z|0.6|1.5|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.105|3||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp sulfur|
s1_s|X|-2|-0.4|Bounded|||s1_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|2.5|Bounded|2|12|Bounded|||||||sp sulfur shell|
s2|S|0|0|ACM|s2_b|s2_s|s2_z|s2_z|0.6|1.5|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.105|3||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp2 sulfur|
s2_s|X|-2|-0.4|Bounded|||s2_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|1|2.5|Bounded|2|12|Bounded|||||||sp2 sulfur shell|
s3|S|0|0|ACM|s3_b|s3_s|s3_z|s3_z|0.6|1.5|Bounded|10|20|Bounded|0.25|0.5|Bounded|1|6|Bounded|0.105|3||||6|20|Bounded|6|20|Bounded|4|9|Bounded|sp3 sulfur|
