#Name|Charges|Qgen|Polarizable|VanderWaals|Ions|Reference
Verstraelen|Gaussian|SQE|False|LJ_SR|False|Verstraelen2009a
Bultinck|Point|EEM|False|LJ_SR|False|Bultinck2002a
Rappe|Slater|EEM|False|LJ_SR|True|Rappe1991a
Yang|Slater|EEM|False|LJ_SR|False|Yang2006a
ACS-p|Point|SQE|False|BHAM|False|Ghahremanpour2022a
ACM-g|Gaussian|EEM|False|BHAM|False|Ghahremanpour2022a
ACS-g|Gaussian|SQE|False|BHAM|True|Ghahremanpour2022a
ACM-s|Slater|EEM|False|BHAM|False|Ghahremanpour2022a
ACS-pg|Gaussian|SQE|True|BHAM|True|Ghahremanpour2022a
ACS-ps|Slater|SQE|True|BHAM|True|Ghahremanpour2022a
ACM-pg|Gaussian|EEM|True|BHAM|False|Ghahremanpour2022a
ACM-ps|Slater|EEM|True|BHAM|False|Ghahremanpour2022a
ACM-ppg|Gaussian|EEM|True|BHAM|False|Ghahremanpour2022a
ACM-pps|Slater|EEM|True|BHAM|False|Ghahremanpour2022a
ESP-p|Point|ESP|False|LJ_SR|False|Ghahremanpour2018b
ESP-pg|Gaussian|ESP|True|LJ_SR|False|Ghahremanpour2018b
ESP-ps|Slater|ESP|True|LJ_SR|False|Ghahremanpour2018b
ESP-pp|Point|ESP|True|LJ_SR|False|Ghahremanpour2018b
